1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
X	chrX
Y	chrY
MT	chrM
GL000207.1	chrGL000207.1
GL000226.1	chrGL000226.1
GL000229.1	chrGL000229.1
GL000231.1	chrGL000231.1
GL000210.1	chrGL000210.1
GL000239.1	chrGL000239.1
GL000235.1	chrGL000235.1
GL000201.1	chrGL000201.1
GL000247.1	chrGL000247.1
GL000245.1	chrGL000245.1
GL000197.1	chrGL000197.1
GL000203.1	chrGL000203.1
GL000246.1	chrGL000246.1
GL000249.1	chrGL000249.1
GL000196.1	chrGL000196.1
GL000248.1	chrGL000248.1
GL000244.1	chrGL000244.1
GL000238.1	chrGL000238.1
GL000202.1	chrGL000202.1
GL000234.1	chrGL000234.1
GL000232.1	chrGL000232.1
GL000206.1	chrGL000206.1
GL000240.1	chrGL000240.1
GL000236.1	chrGL000236.1
GL000241.1	chrGL000241.1
GL000243.1	chrGL000243.1
GL000242.1	chrGL000242.1
GL000230.1	chrGL000230.1
GL000237.1	chrGL000237.1
GL000233.1	chrGL000233.1
GL000204.1	chrGL000204.1
GL000198.1	chrGL000198.1
GL000208.1	chrGL000208.1
GL000191.1	chrGL000191.1
GL000227.1	chrGL000227.1
GL000228.1	chrGL000228.1
GL000214.1	chrGL000214.1
GL000221.1	chrGL000221.1
GL000209.1	chrGL000209.1
GL000218.1	chrGL000218.1
GL000220.1	chrGL000220.1
GL000213.1	chrGL000213.1
GL000211.1	chrGL000211.1
GL000199.1	chrGL000199.1
GL000217.1	chrGL000217.1
GL000216.1	chrGL000216.1
GL000215.1	chrGL000215.1
GL000205.1	chrGL000205.1
GL000219.1	chrGL000219.1
GL000224.1	chrGL000224.1
GL000223.1	chrGL000223.1
GL000195.1	chrGL000195.1
GL000212.1	chrGL000212.1
GL000222.1	chrGL000222.1
GL000200.1	chrGL000200.1
GL000193.1	chrGL000193.1
GL000194.1	chrGL000194.1
GL000225.1	chrGL000225.1
GL000192.1	chrGL000192.1
NC_007605	chrNC_007605
hs37d5	chrhs37d5
